PERMY
10.0634	3245.83	15.2653	1266.44	714.839	6.3803	498.449	873.532
1948.88	1568.96	38.1839	2726.8	599.282	2876.97	45.0775	1962.58
6.3812	     5	     5	     5	     5	     5	     5	     5
     5	3324.56	2536.4	44.0036	2456.6	     5	     5	     5
323.64	     5	     5	     5	     5	128.476	99.5376	     5
1598.74	113.636	     5	150.206	7.8177	1119.78	632.735	12.4019
     5	     5	3252.18	14.5434	344.851	54.2738	10.8355	3298.7
     5	 19.18	11.0636	3340.5	3347.38	1403.73	77.6225	28.4583
85.8514	     5	30.8545	105.879	2561.85	2542.14	1461.64	177.756
8.2031	26.8132	3349.21	7.0436	     5	     5	     5	     5
     5	     5	     5	     5	     5	     5	738.686	2540.36
9.2446	37.0116	1381.24	6.6206	     5	     5	109.18	36.7492
     5	     5	3010.83	2657.66	2642.64	     5	1199.86	497.407
2596.17	2271.32	2242.76	6.5586	888.751	     5	294.418	762.061
3029.18	12.7043	3238.42	  6.52	     5	278.885	47.3417	3350.86
     5	     5	     5	     5	     5	     5	3131.07	944.485
1846.31	2889.15	83.0452	32.3244	     5	     5	     5	     5
     5	     5	     5	     5	     5	     5	     5	     5
3172.2	3343.81	287.387	2941.8	3262.04	3300.01	3333.83	1488.21
2599.31	     5	49.5698	1467.88	25.5599	1303.5	1286.3	3357.08
2223.07	     5	2080.56	68.793	256.935	7.3035	2676.81	2810.38
133.838	     5	6.6327	30.0616	12.5783	19.711	3312.91	3253.57
     5	     5	1078.26	     5	     5	     5	     5	     5
     5	     5	     5	8.1288	3297.07	11.0232	2022.16	 8.033
8.0035	66.3397	     5	     5	     5	     5	     5	     5
     5	     5	     5	2042.43	126.75	49.5315	9.3804	712.766
29.511	83.2065	2981.66	44.5407	20.6827	     5	2377.69	1112.63
1781.81	 6.463	972.672	3343.35	     5	7.8326	147.313	23.1269
15.6907	1967.71	7.5248	11.4385	2782.82	     5	7.6071	2235.41
978.619	3262.28	50.3501	3087.52	     5	     5	126.023	689.924
     5	     5	     5	     5	     5	     5	     5	1765.38
60.0019	7.7524	6.3009	3290.63	     5	     5	     5	     5
     5	     5	     5	     5	     5	     5	     5	1615.48
17.724	1016.37	6.7689	116.092	3358.98	231.355	784.32	590.26
3259.91	     5	2596.19	1187.51	3268.2	340.994	1179.76	3325.37
     5	7.4808	9.1372	1039.86	6.5757	3349.66	17.3582	1705.32
13.9937	3157.36	     5	1463.88	22.0352	529.203	362.818	  2347
     5	     5	872.638	18.3091	     5	     5	     5	     5
     5	     5	     5	3331.88	15.9972	3156.53	192.623	3354.18
